director_name,actor_1_name,actor_2_name,actor_3_name,genres,language,imdb_score,movie_title
James Cameron,CCH Pounder,Joel David Moore,Wes Studi,Action Adventure Fantasy Sci-Fi,English,7.9,avatar
Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action Adventure Fantasy,English,7.1,pirates of the caribbean: at world's end
Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman,Action Adventure Thriller,English,6.8,spectre
Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,Action Thriller,English,8.5,the dark knight rises
Doug Walker,Doug Walker,Rob Walker,unknown,Documentary,unknown,7.1,star wars: episode vii - the force awakens            
Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,Action Adventure Sci-Fi,English,6.6,john carter
Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Action Adventure Romance,English,6.2,spider-man 3
Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,Adventure Animation Comedy Family Fantasy Musical Romance,English,7.8,tangled
Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Action Adventure Sci-Fi,English,7.5,avengers: age of ultron
David Yates,Alan Rickman,Daniel Radcliffe,Rupert Grint,Adventure Family Fantasy Mystery,English,7.5,harry potter and the half-blood prince
Zack Snyder,Henry Cavill,Lauren Cohan,Alan D. Purwin,Action Adventure Sci-Fi,English,6.9,batman v superman: dawn of justice
Bryan Singer,Kevin Spacey,Marlon Brando,Frank Langella,Action Adventure Sci-Fi,English,6.1,superman returns
Marc Forster,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Action Adventure,English,6.7,quantum of solace
Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action Adventure Fantasy,English,7.3,pirates of the caribbean: dead man's chest
Gore Verbinski,Johnny Depp,Ruth Wilson,Tom Wilkinson,Action Adventure Western,English,6.5,the lone ranger
Zack Snyder,Henry Cavill,Christopher Meloni,Harry Lennix,Action Adventure Fantasy Sci-Fi,English,7.2,man of steel
Andrew Adamson,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,Action Adventure Family Fantasy,English,6.6,the chronicles of narnia: prince caspian
Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Action Adventure Sci-Fi,English,8.1,the avengers
Rob Marshall,Johnny Depp,Sam Claflin,Stephen Graham,Action Adventure Fantasy,English,6.7,pirates of the caribbean: on stranger tides
Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Action Adventure Comedy Family Fantasy Sci-Fi,English,6.8,men in black 3
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,English,7.5,the hobbit: the battle of the five armies
Marc Webb,Emma Stone,Andrew Garfield,Chris Zylka,Action Adventure Fantasy,English,7.0,the amazing spider-man
Ridley Scott,Mark Addy,William Hurt,Scott Grimes,Action Adventure Drama History,English,6.7,robin hood
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,English,7.9,the hobbit: the desolation of smaug
Chris Weitz,Christopher Lee,Eva Green,Kristin Scott Thomas,Adventure Family Fantasy,English,6.1,the golden compass
Peter Jackson,Naomi Watts,Thomas Kretschmann,Evan Parke,Action Adventure Drama Romance,English,7.2,king kong
James Cameron,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,Drama Romance,English,7.7,titanic
Anthony Russo,Robert Downey Jr.,Scarlett Johansson,Chris Evans,Action Adventure Sci-Fi,English,8.2,captain america: civil war
Peter Berg,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,Action Adventure Sci-Fi Thriller,English,5.9,battleship
Colin Trevorrow,Bryce Dallas Howard,Judy Greer,Omar Sy,Action Adventure Sci-Fi Thriller,English,7.0,jurassic world
Sam Mendes,Albert Finney,Helen McCrory,Rory Kinnear,Action Adventure Thriller,English,7.8,skyfall
Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Action Adventure Fantasy Romance,English,7.3,spider-man 2
Shane Black,Robert Downey Jr.,Jon Favreau,Don Cheadle,Action Adventure Sci-Fi,English,7.2,iron man 3
Tim Burton,Johnny Depp,Alan Rickman,Anne Hathaway,Adventure Family Fantasy,English,6.5,alice in wonderland
Brett Ratner,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,Action Adventure Fantasy Sci-Fi Thriller,English,6.8,x-men: the last stand
Dan Scanlon,Steve Buscemi,Tyler Labine,Sean Hayes,Adventure Animation Comedy Family Fantasy,English,7.3,monsters university
Michael Bay,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,Action Adventure Sci-Fi,English,6.0,transformers: revenge of the fallen
Michael Bay,Bingbing Li,Sophia Myles,Kelsey Grammer,Action Adventure Sci-Fi,English,5.7,transformers: age of extinction
Sam Raimi,Tim Holmes,Mila Kunis,James Franco,Adventure Family Fantasy,English,6.4,oz the great and powerful
Marc Webb,Emma Stone,Andrew Garfield,B.J. Novak,Action Adventure Fantasy Sci-Fi,English,6.7,the amazing spider-man 2
Joseph Kosinski,Jeff Bridges,Olivia Wilde,James Frain,Action Adventure Sci-Fi,English,6.8,tron: legacy
John Lasseter,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,Adventure Animation Comedy Family Sport,English,6.3,cars 2
Martin Campbell,Ryan Reynolds,Temuera Morrison,Taika Waititi,Action Adventure Sci-Fi,English,5.6,green lantern
Lee Unkrich,Tom Hanks,John Ratzenberger,Don Rickles,Adventure Animation Comedy Family Fantasy,English,8.3,toy story 3
McG,Christian Bale,Bryce Dallas Howard,Common,Action Adventure Sci-Fi,English,6.6,terminator salvation
James Wan,Jason Statham,Paul Walker,Vin Diesel,Action Crime Thriller,English,7.2,furious 7
Marc Forster,Peter Capaldi,Brad Pitt,Mireille Enos,Action Adventure Horror Sci-Fi Thriller,English,7.0,world war z
Bryan Singer,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,Action Adventure Fantasy Sci-Fi Thriller,English,8.0,x-men: days of future past
J.J. Abrams,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,Action Adventure Sci-Fi,English,7.8,star trek into darkness
Bryan Singer,Eddie Marsan,Ewen Bremner,Ralph Brown,Adventure Fantasy,English,6.3,jack the giant slayer
Baz Luhrmann,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,Drama Romance,English,7.3,the great gatsby
Mike Newell,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,Action Adventure Fantasy Romance,English,6.6,prince of persia: the sands of time
Guillermo del Toro,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,Action Adventure Sci-Fi,English,7.0,pacific rim
Michael Bay,Glenn Morshower,Lester Speight,Kevin Dunn,Action Adventure Sci-Fi,English,6.3,transformers: dark of the moon
Steven Spielberg,Harrison Ford,Ray Winstone,Jim Broadbent,Action Adventure Fantasy,English,6.2,indiana jones and the kingdom of the crystal skull
Peter Sohn,A.J. Buckley,Jack McGraw,Peter Sohn,Adventure Animation Comedy Family Fantasy,English,6.8,the good dinosaur
Mark Andrews,Kelly Macdonald,John Ratzenberger,Julie Walters,Adventure Animation Comedy Family Fantasy,English,7.2,brave
Justin Lin,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Action Adventure Sci-Fi Thriller,English,7.5,star trek beyond
Andrew Stanton,John Ratzenberger,Fred Willard,Jeff Garlin,Adventure Animation Family Sci-Fi,English,8.4,wall·e
Brett Ratner,Tzi Ma,Dana Ivey,Noémie Lenoir,Action Comedy Crime Thriller,English,6.2,rush hour 3
Roland Emmerich,Oliver Platt,Liam James,Tom McCarthy,Action Adventure Sci-Fi,English,5.8,2012
Robert Zemeckis,Robin Wright,Colin Firth,Gary Oldman,Animation Drama Family Fantasy,English,6.8,a christmas carol
Lana Wachowski,Channing Tatum,Mila Kunis,Eddie Redmayne,Action Adventure Sci-Fi,English,5.4,jupiter ascending
David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,Action Adventure Drama Romance,English,6.6,the legend of tarzan
Andrew Adamson,Jim Broadbent,Kiran Shah,Shane Rangi,Adventure Family Fantasy,English,6.9,"the chronicles of narnia: the lion, the witch and the wardrobe"
Bryan Singer,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,Action Adventure Sci-Fi,English,7.3,x-men: apocalypse
Christopher Nolan,Christian Bale,Heath Ledger,Morgan Freeman,Action Crime Drama Thriller,English,9.0,the dark knight
Pete Docter,John Ratzenberger,Delroy Lindo,Jess Harnell,Adventure Animation Comedy Family,English,8.3,up
Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert,Action Adventure Animation Comedy Family Sci-Fi,English,6.5,monsters vs. aliens
Jon Favreau,Robert Downey Jr.,Jeff Bridges,Jon Favreau,Action Adventure Sci-Fi,English,7.9,iron man
Martin Scorsese,Chloë Grace Moretz,Christopher Lee,Ray Winstone,Adventure Drama Family Mystery,English,7.5,hugo
